"Station","Year","Month","Temperature","Observations"
"EIM00003953",1963,12,6.8,10
"EIM00003953",1964,2,8.9,11
"EIM00003953",1964,3,8.8,16
"EIM00003953",1964,5,13.7,19
"EIM00003953",1964,6,14,18
"EIM00003953",1964,7,15.9,17
"EIM00003953",1964,8,16.5,18
"EIM00003953",1964,9,15.7,23
"EIM00003953",1964,10,12.9,24
"EIM00003953",1964,11,11.3,23
"EIM00003953",1964,12,7.8,26
"EIM00003953",1965,1,6.1,24
"EIM00003953",1965,2,6.2,24
"EIM00003953",1965,3,10,27
"EIM00003953",1965,4,10.5,22
"EIM00003953",1965,5,12.8,22
"EIM00003953",1965,6,14.6,24
"EIM00003953",1965,7,16,27
"EIM00003953",1965,8,16.4,14
"EIM00003953",1965,9,13.5,20
"EIM00003953",1965,10,13.9,19
"EIM00003953",1965,11,8.9,15
"EIM00003953",1965,12,8.8,20
"EIM00003953",1966,1,7.1,20
"EIM00003953",1966,2,10.1,17
"EIM00003953",1966,3,9.5,20
"EIM00003953",1966,4,10.3,20
"EIM00003953",1966,5,12.5,25
"EIM00003953",1966,6,15.2,25
"EIM00003953",1966,7,15.6,23
"EIM00003953",1966,8,16.1,20
"EIM00003953",1966,9,16.3,17
"EIM00003953",1966,10,11.7,22
"EIM00003953",1966,11,8.4,15
"EIM00003953",1966,12,9.3,22
"EIM00003953",1967,1,7.6,20
"EIM00003953",1967,2,8.1,24
"EIM00003953",1967,3,8.8,26
"EIM00003953",1967,4,11.1,25
"EIM00003953",1967,5,11,27
"EIM00003953",1967,6,15.2,28
"EIM00003953",1967,7,15.7,27
"EIM00003953",1967,8,16,28
"EIM00003953",1967,9,14,26
"EIM00003953",1967,10,11.8,23
"EIM00003953",1967,11,9.4,29
"EIM00003953",1967,12,8.3,15
"EIM00003953",1968,1,8.2,14
"EIM00003953",1968,2,5.8,19
"EIM00003953",1968,3,8.8,23
"EIM00003953",1968,4,10.6,12
"EIM00003953",1968,5,11.8,25
"EIM00003953",1968,6,15.4,25
"EIM00003953",1968,7,16.5,19
"EIM00003953",1968,8,18.2,29
"EIM00003953",1968,9,15.8,22
"EIM00003953",1968,10,14.4,25
"EIM00003953",1968,11,10.3,23
"EIM00003953",1968,12,8.9,21
"EIM00003953",1969,1,7.8,18
"EIM00003953",1969,2,4.7,21
"EIM00003953",1969,3,7.6,21
"EIM00003953",1969,4,10.5,22
"EIM00003953",1969,5,12.2,25
"EIM00003953",1969,6,14.9,25
"EIM00003953",1969,7,15.9,24
"EIM00003953",1969,8,15.8,30
"EIM00003953",1969,9,15.6,28
"EIM00003953",1969,10,15.4,24
"EIM00003953",1969,11,8.4,22
"EIM00003953",1969,12,7.8,24
"EIM00003953",1970,1,8.6,25
"EIM00003953",1970,2,6.8,25
"EIM00003953",1970,3,8,26
"EIM00003953",1970,4,9.4,28
"EIM00003953",1970,5,13,26
"EIM00003953",1970,6,16.3,25
"EIM00003953",1970,7,15,30
"EIM00003953",1970,8,15.6,28
"EIM00003953",1970,9,14.8,26
"EIM00003953",1970,10,13.4,28
"EIM00003953",1970,11,9.7,26
"EIM00003953",1970,12,7.7,23
"EIM00003953",1971,2,8.7,20
"EIM00003953",1971,3,8.4,24
"EIM00003953",1971,4,10.6,27
"EIM00003953",1971,5,12.3,28
"EIM00003953",1971,6,14.3,26
"EIM00003953",1971,7,17.2,22
"EIM00003953",1971,8,16.2,28
"EIM00003953",1971,9,17.2,26
"EIM00003953",1971,10,14.8,27
"EIM00003953",1971,11,10.4,24
"EIM00003953",1971,12,9.9,19
"EIM00003953",1972,1,6.9,26
"EIM00003953",1972,2,8,24
"EIM00003953",1972,3,9.1,24
"EIM00003953",1972,4,10.8,23
"EIM00003953",1972,5,10.8,22
"EIM00003953",1972,6,11.8,21
"EIM00003953",1972,7,16.4,23
"EIM00003953",1972,8,15.6,23
"EIM00003953",1972,9,15.1,23
"EIM00003953",1972,10,12.6,15
"EIM00003953",1972,11,9.8,16
"EIM00003953",1972,12,9.2,21
"EIM00003953",1973,1,8.6,30
"EIM00003953",1973,2,8.2,25
"EIM00003953",1973,3,9.4,28
"EIM00003953",1973,4,9.9,30
"EIM00003953",1973,5,12.7,31
"EIM00003953",1973,6,14.7,29
"EIM00003953",1973,7,15.3,29
"EIM00003953",1973,8,16.5,30
"EIM00003953",1973,9,16.1,29
"EIM00003953",1973,10,13.3,30
